query_accession	run_accession	sample_accession	fastq_url
ERS6421878	ERR5917984	SAMEA8742296	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/004/ERR5917984/ERR5917984_1.fastq.gz
ERS6421878	ERR5917984	SAMEA8742296	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/004/ERR5917984/ERR5917984_2.fastq.gz
ERS5300674	ERR4810956	SAMEA7544016	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4810956/ERR4810956_1.fastq.gz
ERS5300674	ERR4810956	SAMEA7544016	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4810956/ERR4810956_2.fastq.gz
ERS5319965	ERR4830892	SAMEA7563332	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4830892/ERR4830892_1.fastq.gz
ERS5319965	ERR4830892	SAMEA7563332	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4830892/ERR4830892_2.fastq.gz
ERS5298333	ERR4809343	SAMEA7541881	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4809343/ERR4809343_1.fastq.gz
ERS5298333	ERR4809343	SAMEA7541881	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4809343/ERR4809343_2.fastq.gz
ERS1987261	ERR2184442	SAMEA104362283	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184442/ERR2184442_1.fastq.gz
ERS1987261	ERR2184442	SAMEA104362283	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184442/ERR2184442_2.fastq.gz
ERS3372034	ERR3287819	SAMEA5570013	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/009/ERR3287819/ERR3287819_1.fastq.gz
ERS3372034	ERR3287819	SAMEA5570013	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/009/ERR3287819/ERR3287819_2.fastq.gz
ERS5319653	ERR4830580	SAMEA7563020	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/000/ERR4830580/ERR4830580_1.fastq.gz
ERS5319653	ERR4830580	SAMEA7563020	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/000/ERR4830580/ERR4830580_2.fastq.gz
ERS5320349	ERR4831276	SAMEA7563717	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4831276/ERR4831276_1.fastq.gz
ERS5320349	ERR4831276	SAMEA7563717	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4831276/ERR4831276_2.fastq.gz
ERS5281197	ERR4796266	SAMEA7524722	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796266/ERR4796266_1.fastq.gz
ERS5281197	ERR4796266	SAMEA7524722	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796266/ERR4796266_2.fastq.gz
ERS5281637	ERR4796706	SAMEA7525162	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796706/ERR4796706_1.fastq.gz
ERS5281637	ERR4796706	SAMEA7525162	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796706/ERR4796706_2.fastq.gz
ERS5320830	ERR4831883	SAMEA7564199	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4831883/ERR4831883_1.fastq.gz
ERS5320830	ERR4831883	SAMEA7564199	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4831883/ERR4831883_2.fastq.gz
ERS3371973	ERR3287758	SAMEA5569952	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/008/ERR3287758/ERR3287758_1.fastq.gz
ERS3371973	ERR3287758	SAMEA5569952	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/008/ERR3287758/ERR3287758_2.fastq.gz
ERS5318458	ERR4829385	SAMEA7561823	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4829385/ERR4829385_1.fastq.gz
ERS5318458	ERR4829385	SAMEA7561823	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4829385/ERR4829385_2.fastq.gz
ERS5282124	ERR4797108	SAMEA7525650	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797108/ERR4797108_1.fastq.gz
ERS5282124	ERR4797108	SAMEA7525650	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797108/ERR4797108_2.fastq.gz
ERS5320946	ERR4831999	SAMEA7564315	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4831999/ERR4831999_1.fastq.gz
ERS5320946	ERR4831999	SAMEA7564315	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4831999/ERR4831999_2.fastq.gz
ERS5281488	ERR4796557	SAMEA7525013	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796557/ERR4796557_1.fastq.gz
ERS5281488	ERR4796557	SAMEA7525013	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796557/ERR4796557_2.fastq.gz
ERS5282111	ERR4797095	SAMEA7525637	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797095/ERR4797095_1.fastq.gz
ERS5282111	ERR4797095	SAMEA7525637	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797095/ERR4797095_2.fastq.gz
