query_accession	run_accession	sample_accession	fastq_url
PRJEB7727	ERR550942	SAMEA2533579	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550942/ERR550942_1.fastq.gz
PRJEB7727	ERR550942	SAMEA2533579	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550942/ERR550942_2.fastq.gz
PRJEB7727	ERR550994	SAMEA2533617	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550994/ERR550994_1.fastq.gz
PRJEB7727	ERR550994	SAMEA2533617	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550994/ERR550994_2.fastq.gz
PRJEB7727	ERR551070	SAMEA2533674	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551070/ERR551070_1.fastq.gz
PRJEB7727	ERR551070	SAMEA2533674	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551070/ERR551070_2.fastq.gz
PRJEB7727	ERR551101	SAMEA2533702	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551101/ERR551101_1.fastq.gz
PRJEB7727	ERR551101	SAMEA2533702	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551101/ERR551101_2.fastq.gz
PRJEB7727	ERR551102	SAMEA2533702	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551102/ERR551102_1.fastq.gz
PRJEB7727	ERR551102	SAMEA2533702	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551102/ERR551102_2.fastq.gz
PRJEB7727	ERR551175	SAMEA2533753	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551175/ERR551175_1.fastq.gz
PRJEB7727	ERR551175	SAMEA2533753	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551175/ERR551175_2.fastq.gz
PRJEB7727	ERR551176	SAMEA2533753	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551176/ERR551176_1.fastq.gz
PRJEB7727	ERR551176	SAMEA2533753	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551176/ERR551176_2.fastq.gz
PRJEB7727	ERR551193	SAMEA2533765	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551193/ERR551193_1.fastq.gz
PRJEB7727	ERR551193	SAMEA2533765	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551193/ERR551193_2.fastq.gz
PRJEB7727	ERR551336	SAMEA2533865	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551336/ERR551336_1.fastq.gz
PRJEB7727	ERR551336	SAMEA2533865	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551336/ERR551336_2.fastq.gz
PRJEB7727	ERR551568	SAMEA2534034	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551568/ERR551568_1.fastq.gz
PRJEB7727	ERR551568	SAMEA2534034	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551568/ERR551568_2.fastq.gz
PRJEB7727	ERR551725	SAMEA2534148	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551725/ERR551725_1.fastq.gz
PRJEB7727	ERR551725	SAMEA2534148	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551725/ERR551725_2.fastq.gz
PRJEB7727	ERR551848	SAMEA2534237	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551848/ERR551848_1.fastq.gz
PRJEB7727	ERR551848	SAMEA2534237	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551848/ERR551848_2.fastq.gz
PRJEB7727	ERR551857	SAMEA2534243	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551857/ERR551857_1.fastq.gz
PRJEB7727	ERR551857	SAMEA2534243	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551857/ERR551857_2.fastq.gz
PRJEB7727	ERR551915	SAMEA2534287	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551915/ERR551915_1.fastq.gz
PRJEB7727	ERR551915	SAMEA2534287	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551915/ERR551915_2.fastq.gz
PRJEB7727	ERR552082	SAMEA2534401	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552082/ERR552082_1.fastq.gz
PRJEB7727	ERR552082	SAMEA2534401	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552082/ERR552082_2.fastq.gz
PRJEB7727	ERR552117	SAMEA2534424	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552117/ERR552117_1.fastq.gz
PRJEB7727	ERR552117	SAMEA2534424	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552117/ERR552117_2.fastq.gz
PRJEB7727	ERR552267	SAMEA2534527	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552267/ERR552267_1.fastq.gz
PRJEB7727	ERR552267	SAMEA2534527	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552267/ERR552267_2.fastq.gz
PRJEB7727	ERR552282	SAMEA2534540	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552282/ERR552282_1.fastq.gz
PRJEB7727	ERR552282	SAMEA2534540	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552282/ERR552282_2.fastq.gz
PRJEB7727	ERR552308	SAMEA2534557	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552308/ERR552308_1.fastq.gz
PRJEB7727	ERR552308	SAMEA2534557	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552308/ERR552308_2.fastq.gz
PRJEB7727	ERR552427	SAMEA2534641	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552427/ERR552427_1.fastq.gz
PRJEB7727	ERR552427	SAMEA2534641	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552427/ERR552427_2.fastq.gz
PRJEB7727	ERR552647	SAMEA2534794	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552647/ERR552647_1.fastq.gz
PRJEB7727	ERR552647	SAMEA2534794	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552647/ERR552647_2.fastq.gz
PRJEB7727	ERR552662	SAMEA2534807	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552662/ERR552662_1.fastq.gz
PRJEB7727	ERR552662	SAMEA2534807	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552662/ERR552662_2.fastq.gz
PRJEB7727	ERR552707	SAMEA2534839	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552707/ERR552707_1.fastq.gz
PRJEB7727	ERR552707	SAMEA2534839	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552707/ERR552707_2.fastq.gz
PRJEB7727	ERR552729	SAMEA2534857	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552729/ERR552729_1.fastq.gz
