isolate_id,lineage
SAMEA2533414,lineage6
SAMEA2533427,lineage4
SAMEA2533550,lineage4
SAMEA2533572,lineage6
SAMEA2533579,lineage6
SAMEA2533595,lineage4
SAMEA2533617,lineage1
SAMEA2533651,lineage4
SAMEA2533673,lineage4
SAMEA2533674,lineage6
SAMEA2533690,lineage6
SAMEA2533702,lineage4
SAMEA2533753,lineage4
SAMEA2533765,lineage4
SAMEA2533865,lineage5
SAMEA2534034,lineage4
SAMEA2534148,lineage4
SAMEA2534237,lineage4
SAMEA2534243,lineage6
SAMEA2534287,lineage6
SAMEA2534401,lineage4
SAMEA2534424,lineage4
SAMEA2534527,lineage6
SAMEA2534540,lineage4
SAMEA2534557,lineage4
SAMEA2534641,lineage5
SAMEA2534794,lineage4
SAMEA2534807,lineage4
SAMEA2534839,lineage4
SAMEA2534857,lineage4
SAMEA2534913,lineage1
SAMEA2534939,lineage4
SAMEA2534975,lineage4
SAMEA2535012,lineage4
SAMEA2535059,lineage6
SAMEA2535067,lineage4
SAMEA2535082,lineage4
SAMEA2535095,lineage4
SAMEA2535158,lineage4
SAMEA2535171,lineage4
SAMEA2535299,lineage4
SAMEA2535325,lineage4
SAMEA2535342,lineage4
SAMEA2535355,lineage4
