Drug,n,%R,k,AUC_xgb,CI_low,CI_high,AUC_cv_mean,AUC_cv_sd,AUC_logit,Sens@.5,Spec@.5,Thr@90,Sens@thr,Spec@thr,PPV@thr
Isoniazid,9519,47,5,0.98,0.977,0.983,0.98,0.002,0.975,0.935,0.979,0.834,0.9,0.988,0.985
Rifampicin,8955,39,5,0.979,0.976,0.982,0.979,0.003,0.973,0.938,0.966,0.801,0.9,0.98,0.965
Rifabutin,10042,32,5,0.976,0.972,0.979,0.976,0.003,0.966,0.919,0.966,0.66,0.9,0.976,0.947
Ethambutol,6614,22,5,0.973,0.968,0.978,0.973,0.003,0.963,0.918,0.953,0.636,0.9,0.961,0.867
Ethionamide,8251,14,5,0.955,0.947,0.963,0.956,0.008,0.937,0.862,0.951,0.309,0.901,0.915,0.64
Moxifloxacin,6785,15,5,0.942,0.932,0.951,0.943,0.011,0.928,0.841,0.957,0.162,0.9,0.853,0.511
Levofloxacin,7774,15,5,0.938,0.928,0.948,0.939,0.008,0.923,0.819,0.973,0.161,0.901,0.83,0.487
Amikacin,8973,7,5,0.935,0.921,0.95,0.936,0.016,0.93,0.821,0.995,0.08,0.901,0.801,0.244
Kanamycin,9333,8,5,0.93,0.916,0.942,0.931,0.013,0.918,0.771,0.981,0.126,0.9,0.735,0.232
Bedaquiline,8536,1,5,0.816,0.752,0.868,0.818,0.056,0.788,0.254,0.992,0.005,0.901,0.433,0.013
Linezolid,7141,1,5,0.79,0.732,0.843,0.793,0.036,0.716,0.224,0.991,0.009,0.908,0.325,0.014
Clofazimine,7763,1,5,0.788,0.742,0.834,0.789,0.034,0.763,0.264,0.974,0.022,0.906,0.464,0.023
Delamanid,11926,2,5,0.617,0.571,0.662,0.621,0.054,0.611,0.172,0.944,0.057,0.903,0.142,0.016
