Drug,n,%R,k,AUC_xgb,CI_low,CI_high,AUC_cv_mean,AUC_cv_sd,AUC_logit,Sens@.5,Spec@.5,Thr@90,Sens@thr,Spec@thr,PPV@thr
Rifampicin,8955,39,5,0.976,0.973,0.979,0.976,0.003,0.972,0.925,0.973,0.69,0.9,0.979,0.964
Isoniazid,9519,47,5,0.974,0.97,0.977,0.974,0.004,0.97,0.917,0.982,0.743,0.9,0.987,0.983
Rifabutin,10042,32,5,0.973,0.969,0.976,0.973,0.003,0.965,0.905,0.975,0.543,0.9,0.978,0.949
Ethambutol,6614,22,5,0.968,0.963,0.974,0.969,0.006,0.965,0.916,0.945,0.6,0.9,0.956,0.854
Ethionamide,8251,14,5,0.949,0.941,0.957,0.95,0.007,0.931,0.839,0.949,0.277,0.901,0.871,0.54
Moxifloxacin,6785,15,5,0.939,0.93,0.949,0.94,0.011,0.924,0.847,0.951,0.188,0.9,0.865,0.533
Levofloxacin,7774,15,5,0.939,0.93,0.948,0.939,0.01,0.928,0.833,0.97,0.165,0.901,0.813,0.463
Amikacin,8973,7,5,0.935,0.92,0.949,0.935,0.015,0.932,0.824,0.994,0.097,0.901,0.771,0.22
Kanamycin,9333,8,5,0.931,0.918,0.943,0.932,0.011,0.928,0.792,0.978,0.141,0.9,0.759,0.249
Clofazimine,7763,1,5,0.786,0.739,0.827,0.787,0.034,0.756,0.33,0.953,0.037,0.906,0.502,0.025
Bedaquiline,8536,1,5,0.781,0.713,0.839,0.786,0.071,0.745,0.239,0.98,0.007,0.901,0.248,0.01
Linezolid,7141,1,5,0.748,0.681,0.814,0.752,0.065,0.747,0.355,0.98,0.011,0.908,0.229,0.013
Delamanid,11926,2,5,0.588,0.543,0.633,0.593,0.073,0.627,0.21,0.889,0.078,0.903,0.128,0.016
