Drug,n,%R,clusters,AUC_random,AUC_grouped,drop
Isoniazid,9519,47,25,0.979,0.971,0.008
Rifampicin,8955,39,25,0.978,0.968,0.01
Rifabutin,10042,32,25,0.977,0.963,0.014
Ethambutol,6614,22,25,0.971,0.961,0.01
Ethionamide,8251,14,25,0.957,0.932,0.026
Moxifloxacin,6785,15,25,0.944,0.935,0.01
Levofloxacin,7774,15,25,0.94,0.931,0.009
Kanamycin,9333,8,25,0.937,0.899,0.038
Amikacin,8973,7,25,0.929,0.928,0.001
Bedaquiline,8536,1,25,0.776,0.777,-0.0
Clofazimine,7763,1,25,0.75,0.614,0.136
Linezolid,7141,1,25,0.731,0.666,0.065
Delamanid,11926,2,25,0.652,0.609,0.043
