Drug,n,%R,clusters,AUC_random,AUC_grouped,drop
Rifampicin,8955,39,25,0.976,0.97,0.006
Isoniazid,9519,47,25,0.974,0.968,0.006
Rifabutin,10042,32,25,0.973,0.963,0.01
Ethambutol,6614,22,25,0.968,0.952,0.016
Ethionamide,8251,14,25,0.949,0.92,0.029
Moxifloxacin,6785,15,25,0.939,0.927,0.013
Levofloxacin,7774,15,25,0.939,0.927,0.012
Amikacin,8973,7,25,0.935,0.919,0.015
Kanamycin,9333,8,25,0.931,0.9,0.031
Clofazimine,7763,1,25,0.786,0.675,0.111
Bedaquiline,8536,1,25,0.781,0.733,0.048
Linezolid,7141,1,25,0.748,0.657,0.091
Delamanid,11926,2,25,0.588,0.554,0.034
