Drug,n_test,%R,AUC (logit),AUC (xgb),Sens (xgb),Spec (xgb),PPV (xgb),BalAcc (xgb)
Rifabutin,2511,32%,0.967,0.978,0.92,0.968,0.93,0.944
Isoniazid,2380,47%,0.973,0.975,0.927,0.982,0.978,0.955
Rifampicin,2239,38%,0.965,0.975,0.927,0.964,0.942,0.946
Ethambutol,1654,22%,0.955,0.974,0.929,0.957,0.858,0.943
Ethionamide,2063,14%,0.944,0.963,0.865,0.948,0.739,0.907
Levofloxacin,1944,15%,0.934,0.951,0.841,0.972,0.844,0.906
Moxifloxacin,1697,15%,0.922,0.943,0.843,0.96,0.783,0.901
Amikacin,2244,7%,0.937,0.932,0.82,0.995,0.925,0.908
Kanamycin,2334,8%,0.911,0.909,0.763,0.975,0.732,0.869
Clofazimine,1941,1%,0.769,0.802,0.259,0.971,0.111,0.615
Bedaquiline,2134,1%,0.788,0.782,0.278,0.992,0.227,0.635
Linezolid,1786,1%,0.71,0.738,0.211,0.993,0.235,0.602
Delamanid,2982,2%,0.668,0.694,0.234,0.952,0.072,0.593
